2026-07-17 17:40:03,740 - 105 - ERROR - logging_config - Player data is not available now or having troulble to load this data | Error : I/O operation on closed file.
2026-07-17 17:44:31,687 - 105 - ERROR - logging_config - Player data is not available now or having troulble to load this data | Error : I/O operation on closed file.
2026-07-31 17:42:30,776 | api.py | get_server_data | Line 58 | ERROR | Invalid URL 'players-selected-columns.csv': No scheme supplied. Perhaps you meant https://players-selected-columns.csv?Latest data is currently unavailable, Displaying data from July 17, 2026 instead.
2026-07-31 19:24:12,988 | api.py | get_server_data | Line 58 | ERROR | HTTPSConnectionPool(host='api.fifa.com', port=443): Read timed out. (read timeout=5)Latest data is currently unavailable, Displaying data from July 17, 2026 instead.
2026-07-31 19:24:59,815 | api.py | get_server_data | Line 58 | ERROR | Invalid URL 'players-selected-columns.csv': No scheme supplied. Perhaps you meant https://players-selected-columns.csv?Latest data is currently unavailable, Displaying data from July 17, 2026 instead.
2026-07-31 21:21:44,153 | api.py | get_server_data | Line 58 | ERROR | Invalid URL 'players-selected-columns.csv': No scheme supplied. Perhaps you meant https://players-selected-columns.csv?Latest data is currently unavailable, Displaying data from July 17, 2026 instead.
2026-07-31 21:22:53,036 | api.py | get_server_data | Line 58 | ERROR | Invalid URL 'players-selected-columns.csv': No scheme supplied. Perhaps you meant https://players-selected-columns.csv?Latest data is currently unavailable, Displaying data from July 17, 2026 instead.
2026-07-31 21:24:37,541 | api.py | get_server_data | Line 58 | ERROR | Invalid URL 'players-selected-columns.csv': No scheme supplied. Perhaps you meant https://players-selected-columns.csv?Latest data is currently unavailable, Displaying data from July 17, 2026 instead.
2026-07-31 21:25:39,063 | api.py | get_server_data | Line 58 | ERROR | Invalid URL 'players-selected-columns.csv': No scheme supplied. Perhaps you meant https://players-selected-columns.csv?Latest data is currently unavailable, Displaying data from July 17, 2026 instead.
2026-07-31 21:33:58,969 | api.py | get_server_data | Line 58 | ERROR | Invalid URL 'players-selected-columns.csv': No scheme supplied. Perhaps you meant https://players-selected-columns.csv?Latest data is currently unavailable, Displaying data from July 17, 2026 instead.
2026-08-01 07:23:41,849 | api.py | get_server_data | Line 58 | ERROR | Invalid URL 'players-selected-columns.csv': No scheme supplied. Perhaps you meant https://players-selected-columns.csv?Latest data is currently unavailable, Displaying data from July 17, 2026 instead.
2026-08-01 07:26:23,654 | api.py | get_server_data | Line 58 | ERROR | Invalid URL 'players-selected-columns.csv': No scheme supplied. Perhaps you meant https://players-selected-columns.csv?Latest data is currently unavailable, Displaying data from July 17, 2026 instead.
